"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,7091785,75450471,0.51303200108802,10639.1368322644,"2013"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",146,2000,2000,2000,40572,14316,0.0317226496528429,352.854185152322,"2013"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",176,1997,1997,1997,120010,1425291,0.0778396118721461,11876.4352970586,"2013"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",154,2000,2000,2000,1490,33870,0.00110448911818775,22731.5436241611,"2013"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,3864429,40274303,0.742293223984013,10421.7991843038,"2013"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",564,1960.66666666667,1964,1958,2778059,30862947,0.562287274523139,11109.5361905561,"2013"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","GT",484,1975,1977,1972,-154,0,-3.63221253632213e-05,0,"2013"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","IC",2,1985,1985,1985,-414,19148,-0.0236301369863014,-46251.2077294686,"2013"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148.5,2008,2010,2006,490566,4680491,0.377108989437757,9541.00161853859,"2013"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,10581673,101263170,0.736557035861454,9569.67485198229,"2013"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,257,10262,0.0003259766615931,39929.9610894942,"2013"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,23643,344222,0.00739039595492806,14559.1506999958,"2013"
"10004","King County Dept-Natural Res","50329","Other Waste Biomass","West Point Treatment Plant","OBG","IC",4.6,2012,2012,2012,6506,60524,0.161455231288465,9302.79741776821,"2013"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center","NG","GT",375.1,2000.33333333333,2001,2000,96356,1128357,0.0293242958650905,11710.293079829,"2013"
"10005","Kansas Gas & Electric Co","1240","Petroleum Liquids","Gordon Evans Energy Center","DFO","IC",2.9,1969,1969,1969,27,350,0.00106282475200756,12962.962962963,"2013"
