"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,6630238,70981182,0.479642892280269,10705.6763271545,"2015"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",146,2000,2000,2000,15513,29434,0.0121293863764309,1897.37639399214,"2015"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",176,1997,1997,1997,53054,677171,0.0344113221253632,12763.8066875259,"2015"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",154,2000,2000,2000,22117,306139,0.0163946213603748,13841.7959036036,"2015"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,3473794,35648210,0.667258668154162,10262.0391422174,"2015"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",564,1960.66666666667,1964,1958,1408019,16204146,0.284987167654393,11508.4711214834,"2015"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","GT",484,1975,1977,1972,0,0,0,NA,"2015"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","IC",2,1985,1985,1985,862,41893,0.0492009132420091,48599.7679814385,"2015"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148.5,2008,2010,2006,461099,4296981,0.354457051489015,9318.9987399669,"2015"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,9375792,88463302,0.652619445372536,9435.28845349811,"2015"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,3616,56612,0.00458650431253171,15655.9734513274,"2015"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,34974,475518,0.0109322720520938,13596.328701321,"2015"
"10004","King County Dept-Natural Res","50329","Other Waste Biomass","West Point Treatment Plant","OBG","IC",4.6,2012,2012,2012,15865,164264,0.393711534643637,10353.8606996533,"2015"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center","NG","GT",375.1,2000.33333333333,2001,2000,72582,846847,0.0220890867458176,11667.4519853407,"2015"
"10005","Kansas Gas & Electric Co","1240","Petroleum Liquids","Gordon Evans Energy Center","DFO","IC",2.9,1969,1969,1969,17,168,0.000669185954967722,9882.35294117647,"2015"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Steam Turbine","Gordon Evans Energy Center","NG","ST",526,1964,1967,1961,210872,2993631,0.0457645363473792,14196.4367009371,"2015"
"10005","Kansas Gas & Electric Co","1242","Natural Gas Steam Turbine","Murray Gill","NG","ST",228,1957.5,1959,1956,35273,677111,0.0176605183048947,19196.2974513084,"2015"
