"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,7256107,75198324,0.524919338970201,10363.4530196426,"2014"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",146,2000,2000,2000,13645,1171,0.0106688246700444,85.8189813118358,"2014"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",176,1997,1997,1997,43895,553714,0.0284707088003321,12614.5119034059,"2014"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",154,2000,2000,2000,12317,176958,0.00913019628773053,14366.9724770642,"2014"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,3334867,34497049,0.640573077416584,10344.3552621439,"2014"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",564,1960.66666666667,1964,1958,2856381,31591725,0.578139876615175,11060.0529131093,"2014"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","GT",484,1975,1977,1972,0,0,0,NA,"2014"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","IC",2,1985,1985,1985,1055,35241,0.0602168949771689,33403.7914691943,"2014"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148.5,2008,2010,2006,476587,4532342,0.366363021385852,9509.99922364647,"2014"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,9155451,89037316,0.637282200133645,9725.06062235492,"2014"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,12149,172800,0.0154096905124302,14223.3928718413,"2014"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,34444,482665,0.0107666031498347,14013.0356520729,"2014"
