"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,7933023,82845470,0.573888613990312,10443.1148126004,"2016"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",146,2000,2000,2000,12726,9821,0.00995027209607806,771.727172717272,"2016"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",176,1997,1997,1997,45462,567898,0.0294870797011208,12491.707359993,"2016"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",154,2000,2000,2000,41833,552472,0.0310094585779517,13206.6072239619,"2016"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,2583400,26920843,0.496228631665971,10420.7025625145,"2016"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",376,1962,1964,1960,721379,8150930,0.219013832216069,11299.0952051557,"2016"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","GT",484,1975,1977,1972,0,0,0,NA,"2016"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast (MO)","DFO","IC",2,1985,1985,1985,1317,74587,0.0751712328767123,56634.0167046317,"2016"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148.5,2008,2010,2006,408557,3771798,0.314066848085113,9231.99945172889,"2016"
"10000","Kansas City Power & Light Co","59772","Batteries","KCP&L SmartGrid Innovation Park","MWH","BA",1,2012,2012,2012,0,0,0,NA,"2016"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,9738811,92846910,0.677888058247021,9533.7007772304,"2016"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,1375,23366,0.00174403855910705,16993.4545454545,"2016"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,12166,178281,0.00380288276393244,14654.0358375801,"2016"
"10004","King County Dept-Natural Res","50329","Other Waste Biomass","West Point Treatment Plant","OBG","IC",4.6,2012,2012,2012,15744,93809,0.390708755211435,5958.3968495935,"2016"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center","NG","GT",375.1,2000.33333333333,2001,2000,107413,1241510,0.0326893041612039,11558.2843789858,"2016"
"10005","Kansas Gas & Electric Co","1240","Petroleum Liquids","Gordon Evans Energy Center","DFO","IC",2.9,1969,1969,1969,22,245,0.00086600535348764,11136.3636363636,"2016"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Steam Turbine","Gordon Evans Energy Center","NG","ST",526,1964,1967,1961,227396,3087811,0.0493506606246853,13579.0031486921,"2016"
"10005","Kansas Gas & Electric Co","1242","Natural Gas Steam Turbine","Murray Gill","NG","ST",228,1957.5,1959,1956,75912,1272084,0.0380076904590243,16757.3506165033,"2016"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combined Cycle","Ravenswood","NG","CA",80,2003,2003,2003,477545,0,0.681428367579909,0,"2016"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combined Cycle","Ravenswood","NG","CT",170,2003,2003,2003,1085604,11448157,0.728984689766317,10545.4263248846,"2016"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combustion Turbine","Ravenswood","NG","GT",523,1968.875,1969,1967,18931,317413,0.00413207085919834,16766.8374623633,"2016"
"10023","TC Ravenswood LLC","2500","Natural Gas Steam Turbine","Ravenswood","NG","ST",1827,1963.66666666667,1965,1963,3613264,39357736,0.225765221324976,10892.5713703732,"2016"
"10035","Kansas Municipal Energy Agency","59045","Natural Gas Internal Combustion Engine","Jameson Energy Center","NG","IC",27.6,2014,2014,2014,6392,78487,0.0264376943948117,12278.942428035,"2016"
"10046","Kas Brothers Windfarm LLC","55809","Onshore Wind Turbine","Kas Brothers Windfarm","WND","WT",1.5,2001,2001,2001,3684,34011,0.280365296803653,9232.08469055375,"2016"
"1005","Avalon/Mayo Hydropower LLC","54801","Conventional Hydroelectric","Avalon/Mayo Hydropower","WAT","HY",1.2,1999,2000,1997,5249,48460,0.499334094368341,9232.23471137359,"2016"
"10056","City of Kaukauna","4118","Natural Gas Fired Combustion Turbine","Kaukauna Gas Turbine","NG","GT",18,1969,1969,1969,155,3400,0.000983003551496702,21935.4838709677,"2016"
"10056","City of Kaukauna","4119","Conventional Hydroelectric","Little Chute","WAT","HY",3.3,1948,1948,1948,25172,232388,0.870762418707624,9232.00381376132,"2016"
"10056","City of Kaukauna","4120","Conventional Hydroelectric","New Badger","WAT","HY",8.2,2014,2014,2014,51502,475466,0.716978505401492,9231.99099064114,"2016"
"10056","City of Kaukauna","4122","Conventional Hydroelectric","Rapide Croche","WAT","HY",2.4,1926,1926,1926,18043,166575,0.858209665144597,9232.11217646733,"2016"
"10056","City of Kaukauna","4201","Conventional Hydroelectric","Combined Locks","WAT","HY",6.2,1988,1988,1988,46819,432233,0.862037855354249,9231.9998291292,"2016"
"10056","City of Kaukauna","54885","Conventional Hydroelectric","Kimberly Mill","WAT","HY",2.1,1926.66666666667,1927,1926,14205,131140,0.772178734507502,9231.96057726153,"2016"
"10056","City of Kaukauna","7822","Conventional Hydroelectric","Kaukauna City Hydro","WAT","HY",4.8,1941,1942,1940,38799,358192,0.922731164383562,9231.99051521946,"2016"
"10071","Kauai Island Utility Cooperative","56258","All Other","Kapaia Power Station","OTH","GT",39.1,2002,2002,2002,175922,1595658,0.513616882131054,9070.25840997715,"2016"
"10071","Kauai Island Utility Cooperative","58639","Batteries","KRS I Anahola Solar","MWH","BA",6,2015,2015,2015,-63030,0,-1.19920091324201,0,"2016"
"10071","Kauai Island Utility Cooperative","58639","Solar Photovoltaic","KRS I Anahola Solar","SUN","PV",12,2015,2015,2015,21141,195174,0.20111301369863,9232.01362281822,"2016"
"10071","Kauai Island Utility Cooperative","58640","Batteries","KRS II Koloa Solar","MWH","BA",1.5,2014,2014,2014,0,0,0,NA,"2016"
