"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,8126843,85618818,0.587909888246494,10535.3109442375,"2012"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",146,2000,2000,2000,59557,0,0.0465667417276537,0,"2012"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",176,1997,1997,1997,142744,1648238,0.092585097550851,11546.8110743709,"2012"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",154,2000,2000,2000,10351,151344,0.00767286366601435,14621.1960197082,"2012"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,3754832,38915139,0.721241443638462,10364.0160198912,"2012"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",564,1960.66666666667,1964,1958,1791609,19773168,0.362626906635578,11036.5420133522,"2012"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast","DFO","GT",484,1975,1977,1972,0,0,0,NA,"2012"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast","DFO","IC",2,1985,1985,1985,-1756,23269,-0.100228310502283,-13251.138952164,"2012"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148.5,2008,2010,2006,413996,3939586,0.31824792829359,9516.00015459087,"2012"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,11809982,111440793,0.822055769016594,9436.15265459338,"2012"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,10799,151203,0.013697361745307,14001.5742198352,"2012"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,61216,842440,0.0191350707937603,13761.7616309462,"2012"
"10004","King County Dept-Natural Res","50329","Other Waste Biomass","West Point Treatment Plant","OBG","IC",4.6,2012,2012,2012,194,2206,0.00481437363510026,11371.1340206186,"2012"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center","NG","GT",375.1,2000.33333333333,2001,2000,176526,2069365,0.0537226602586342,11722.7207323567,"2012"
"10005","Kansas Gas & Electric Co","1240","Petroleum Liquids","Gordon Evans Energy Center","DFO","IC",2.9,1969,1969,1969,19,217,0.000747913714375689,11421.0526315789,"2012"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Steam Turbine","Gordon Evans Energy Center","NG","ST",526,1964,1967,1961,423223,5152955,0.0918500529541469,12175.5079473469,"2012"
"10005","Kansas Gas & Electric Co","1242","Natural Gas Steam Turbine","Murray Gill","NG","ST",349,1955.25,1959,1952,166597,2308362,0.0544926142533789,13855.9637928654,"2012"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combined Cycle","Ravenswood","NG","CA",80,2003,2003,2003,414172,0,0.590998858447489,0,"2012"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combined Cycle","Ravenswood","NG","CT",170,2003,2003,2003,1026262,11185127,0.689136449100188,10898.900085943,"2012"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combustion Turbine","Ravenswood","NG","GT",548,1968.88235294118,1969,1967,65307,1076606,0.0136042645735426,16485.3078536757,"2012"
"10023","TC Ravenswood LLC","2500","Natural Gas Steam Turbine","Ravenswood","NG","ST",1827,1963.66666666667,1965,1963,2871643,30947308,0.179426999372677,10776.8646729416,"2012"
"10046","Kas Brothers Windfarm LLC","55809","Onshore Wind Turbine","Kas Brothers Windfarm","WND","WT",1.5,2001,2001,2001,4099,39005,0.311948249619482,9515.73554525494,"2012"
"1005","Avalon/Mayo Hydropower LLC","54801","Conventional Hydroelectric","Avalon/Mayo Hydropower","WAT","HY",1.2,1999,2000,1997,3128,29766,0.297564687975647,9515.98465473146,"2012"
"10056","City of Kaukauna","4118","Natural Gas Fired Combustion Turbine","Kaukauna Gas Turbine","NG","GT",18,1969,1969,1969,383,6499,0.00242897006595637,16968.6684073107,"2012"
"10056","City of Kaukauna","4119","Conventional Hydroelectric","Little Chute","WAT","HY",3.3,1948,1948,1948,19323,183878,0.668430884184309,9516.01718159706,"2012"
"10056","City of Kaukauna","4122","Conventional Hydroelectric","Rapide Croche","WAT","HY",2.4,1926,1926,1926,13188,125498,0.627283105022831,9516.07521989688,"2012"
"10056","City of Kaukauna","4201","Conventional Hydroelectric","Combined Locks","WAT","HY",6.2,1988,1988,1988,35768,340369,0.658565326263073,9516.01990606128,"2012"
"10056","City of Kaukauna","7822","Conventional Hydroelectric","Kaukauna City Hydro","WAT","HY",4.8,1941,1942,1940,28100,267399,0.668283866057839,9515.97864768683,"2012"
"10071","Kauai Island Utility Cooperative","56258","All Other","Kapaia Power Station","OTH","GT",39.1,2002,2002,2002,215805,1876917,0.630058157867078,8697.28226871481,"2012"
"10071","Kauai Island Utility Cooperative","6474","Petroleum Liquids","Port Allen","DFO","CA",10,1969,1969,1969,10438,164893,0.119155251141553,15797.3749760491,"2012"
