"Utility.ID","Utility.Name","Plant.Code","Technology","Plant.Name","Energy.Source.1","Prime.Mover","Nameplate.Capacity","Average.Operating.Year","Min.Operating.Year","Max.Operating.Year","Net.Generation.MWh","Electric.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
"10000","Kansas City Power & Light Co","1241","Conventional Steam Coal","La Cygne","SUB","ST",1578,1975,1977,1973,8448038,89725947,0.611145690458415,10620.921331083,"2010"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CA",142.8,2000,2000,2000,65728,181883,0.0525433917859381,2767.20727848101,"2010"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combined Cycle","Hawthorn","NG","CT",164,1997,1997,1997,161749,1883695,0.112588400712774,11645.7907004062,"2010"
"10000","Kansas City Power & Light Co","2079","Natural Gas Fired Combustion Turbine","Hawthorn","NG","GT",170,2000,2000,2000,315,11468,0.000211522965350524,36406.3492063492,"2010"
"10000","Kansas City Power & Light Co","2079","Conventional Steam Coal","Hawthorn","SUB","ST",594.3,1969,1969,1969,3828917,38476617,0.735471953113175,10048.9556185209,"2010"
"10000","Kansas City Power & Light Co","2080","Conventional Steam Coal","Montrose","SUB","ST",564,1960.66666666667,1964,1958,3138110,34553311,0.635162650992584,11010.8667318864,"2010"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast","DFO","GT",484,1975,1977,1972,-1060,34098,-0.000250009434318276,-32167.9245283019,"2010"
"10000","Kansas City Power & Light Co","2081","Petroleum Liquids","Northeast","DFO","IC",2,1985,1985,1985,-163,1294,-0.00930365296803653,-7938.65030674847,"2010"
"10000","Kansas City Power & Light Co","56351","Onshore Wind Turbine","Spearville","WND","WT",148,2008,2010,2006,365800,3568746,0.282148586943108,9756.00328048114,"2010"
"10000","Kansas City Power & Light Co","6065","Conventional Steam Coal","Iatan","SUB","ST",1640,1995,2010,1980,6568027,66259030,0.45717973883506,10088.1177863611,"2010"
"10000","Kansas City Power & Light Co","7928","Natural Gas Fired Combustion Turbine","Osawatomie","NG","GT",90,2003,2003,2003,1474,25862,0.00186960933536276,17545.4545454545,"2010"
"10000","Kansas City Power & Light Co","7929","Natural Gas Fired Combustion Turbine","West Gardner","NG","GT",365.2,2003,2003,2003,76221,1038053,0.0238253762246995,13618.9895173246,"2010"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center","NG","GT",375.1,2000.33333333333,2001,2000,87819,1017937,0.0267262063449747,11591.307120327,"2010"
"10005","Kansas Gas & Electric Co","1240","Petroleum Liquids","Gordon Evans Energy Center","DFO","IC",2.9,1969,1969,1969,42,415,0.00165328294756731,9880.95238095238,"2010"
"10005","Kansas Gas & Electric Co","1240","Natural Gas Steam Turbine","Gordon Evans Energy Center","NG","ST",526,1964,1967,1961,485387,6128791,0.105341207007309,12626.6072226903,"2010"
"10005","Kansas Gas & Electric Co","1242","Natural Gas Steam Turbine","Murray Gill","NG","ST",349,1955.25,1959,1952,186662,2619105,0.0610557234629928,14031.2704246178,"2010"
"10005","Kansas Gas & Electric Co","1243","Natural Gas Steam Turbine","Neosho","NG","ST",69,1954,1954,1954,-1649,0,-0.00272814505989015,0,"2010"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combined Cycle","Ravenswood","NG","CT",170,2003,2003,2003,1223162,9135489,0.821355089981198,7468.74821160239,"2010"
"10023","TC Ravenswood LLC","2500","Natural Gas Fired Combustion Turbine","Ravenswood","NG","GT",548,1968.88235294118,1969,1967,30237,519701,0.00629874512548745,17187.5847471641,"2010"
"10023","TC Ravenswood LLC","2500","Natural Gas Steam Turbine","Ravenswood","NG","ST",1827,1963.66666666667,1965,1963,2140550,23798536,0.133746591587876,11117.9537969214,"2010"
"10046","Kas Brothers Windfarm LLC","55809","Onshore Wind Turbine","Kas Brothers Windfarm","WND","WT",1.5,2001,2001,2001,3779,36867,0.287595129375951,9755.7554908706,"2010"
"1005","Avalon/Mayo Hydropower LLC","54801","Conventional Hydroelectric","Avalon/Mayo Hydropower","WAT","HY",1.2,1999,2000,1997,4476,43668,0.425799086757991,9756.03217158177,"2010"
"10056","City of Kaukauna","4118","Natural Gas Fired Combustion Turbine","Kaukauna Gas Turbine","NG","GT",18,1969,1969,1969,142,774,0.000900558092338914,5450.70422535211,"2010"
