"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
10000,1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",7685884,79892617,0.55601015099166,10394.7206333065,2011
10000,2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",146,2000,2000,2000,"SPP",48899,7825,0.0382334083943204,160.023722366511,2011
10000,2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",176,1997,1997,1997,"SPP",167141,1949597,0.108409220630967,11664.3851598351,2011
10000,2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",154,2000,2000,2000,"SPP",1608,31314,0.0011919587262053,19473.8805970149,2011
10000,2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",3759752,38580425,0.722186494682743,10261.4281473884,2011
10000,2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",564,1960.66666666667,1964,1958,"SPP",2598490,28784929,0.525941983224845,11077.5600444874,2011
10000,2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",484,1975,1977,1972,"SPP",-471,0,-0.0001110890977018,0,2011
10000,2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",2,1985,1985,1985,"SPP",-952,21931,-0.054337899543379,-23036.7647058824,2011
10000,56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",148,2008,2010,2006,"SPP",563635,5476276,0.43474253362952,9715.99705483159,2011
10000,6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",1640,1995,2010,1980,"SPP",9016383,86514456,0.627602113264283,9595.25077849954,2011
10000,7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",7449,106841,0.0094482496194825,14342.9990602765,2011
10000,7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",43669,609649,0.0136501797976464,13960.681490302,2011
10005,1240,"GT","NG","Kansas Gas & Electric Co","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center",375.1,2000.33333333333,2001,2000,"SPP",161492,1874456,0.0491473202275436,11607.1136650732,2011
