"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
10000,1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",8126843,85618818,0.587909888246494,10535.3109442375,2012
10000,2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",146,2000,2000,2000,"SPP",59557,0,0.0465667417276537,0,2012
10000,2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",176,1997,1997,1997,"SPP",142744,1648238,0.092585097550851,11546.8110743709,2012
10000,2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",154,2000,2000,2000,"SPP",10351,151344,0.00767286366601435,14621.1960197082,2012
10000,2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",3754832,38915139,0.721241443638462,10364.0160198912,2012
10000,2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",564,1960.66666666667,1964,1958,"SPP",1791609,19773168,0.362626906635578,11036.5420133522,2012
10000,2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",484,1975,1977,1972,"SPP",0,0,0,NA,2012
10000,2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",2,1985,1985,1985,"SPP",-1756,23269,-0.100228310502283,-13251.138952164,2012
10000,56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",148.5,2008,2010,2006,"SPP",413996,3939586,0.31824792829359,9516.00015459087,2012
10000,6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",1640,1995,2010,1980,"SPP",11809982,111440793,0.822055769016594,9436.15265459338,2012
10000,7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",10799,151203,0.013697361745307,14001.5742198352,2012
10000,7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",61216,842440,0.0191350707937603,13761.7616309462,2012
10004,50329,"IC","OBG","King County Dept-Natural Res","Other Waste Biomass","West Point Treatment Plant",4.6,2012,2012,2012,"WECC",194,2206,0.00481437363510026,11371.1340206186,2012
10005,1240,"GT","NG","Kansas Gas & Electric Co","Natural Gas Fired Combustion Turbine","Gordon Evans Energy Center",375.1,2000.33333333333,2001,2000,"SPP",176526,2069365,0.0537226602586342,11722.7207323567,2012
10005,1240,"IC","DFO","Kansas Gas & Electric Co","Petroleum Liquids","Gordon Evans Energy Center",2.9,1969,1969,1969,"SPP",19,217,0.000747913714375689,11421.0526315789,2012
10005,1240,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Gordon Evans Energy Center",526,1964,1967,1961,"SPP",423223,5152955,0.0918500529541469,12175.5079473469,2012
10005,1242,"ST","NG","Kansas Gas & Electric Co","Natural Gas Steam Turbine","Murray Gill",349,1955.25,1959,1952,"SPP",166597,2308362,0.0544926142533789,13855.9637928654,2012
10023,2500,"CA","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",80,2003,2003,2003,"NPCC",414172,0,0.590998858447489,0,2012
10023,2500,"CT","NG","TC Ravenswood LLC","Natural Gas Fired Combined Cycle","Ravenswood",170,2003,2003,2003,"NPCC",1026262,11185127,0.689136449100188,10898.900085943,2012
10023,2500,"GT","NG","TC Ravenswood LLC","Natural Gas Fired Combustion Turbine","Ravenswood",548,1968.88235294118,1969,1967,"NPCC",65307,1076606,0.0136042645735426,16485.3078536757,2012
10023,2500,"ST","NG","TC Ravenswood LLC","Natural Gas Steam Turbine","Ravenswood",1827,1963.66666666667,1965,1963,"NPCC",2871643,30947308,0.179426999372677,10776.8646729416,2012
10046,55809,"WT","WND","Kas Brothers Windfarm LLC","Onshore Wind Turbine","Kas Brothers Windfarm",1.5,2001,2001,2001,"MRO",4099,39005,0.311948249619482,9515.73554525494,2012
1005,54801,"HY","WAT","Avalon/Mayo Hydropower LLC","Conventional Hydroelectric","Avalon/Mayo Hydropower",1.2,1999,2000,1997,"SERC",3128,29766,0.297564687975647,9515.98465473146,2012
10056,4118,"GT","NG","City of Kaukauna","Natural Gas Fired Combustion Turbine","Kaukauna Gas Turbine",18,1969,1969,1969,"MRO",383,6499,0.00242897006595637,16968.6684073107,2012
10056,4119,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Little Chute",3.3,1948,1948,1948,"MRO",19323,183878,0.668430884184309,9516.01718159706,2012
10056,4122,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Rapide Croche",2.4,1926,1926,1926,"MRO",13188,125498,0.627283105022831,9516.07521989688,2012
10056,4201,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Combined Locks",6.2,1988,1988,1988,"MRO",35768,340369,0.658565326263073,9516.01990606128,2012
10056,7822,"HY","WAT","City of Kaukauna","Conventional Hydroelectric","Kaukauna City Hydro",4.8,1941,1942,1940,"MRO",28100,267399,0.668283866057839,9515.97864768683,2012
10071,56258,"GT","OTH","Kauai Island Utility Cooperative","All Other","Kapaia Power Station",39.1,2002,2002,2002,"HICC",215805,1876917,0.630058157867078,8697.28226871481,2012
10071,6474,"CA","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen",10,1969,1969,1969,"HICC",10438,164893,0.119155251141553,15797.3749760491,2012
10071,6474,"CT","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen",43,1975,1977,1973,"HICC",4898,109642,0.0130030795370075,22385.0551245406,2012
10071,6474,"IC","DFO","Kauai Island Utility Cooperative","Petroleum Liquids","Port Allen",46.5,1977.11111111111,1991,1964,"HICC",173715,1623474,0.426461923700103,9345.61782229514,2012
10077,10042,"GT","NG","Kaweah Delta Hospital","Natural Gas Fired Combustion Turbine","Kaweah Delta District Hospital",3.5,2008,2008,2008,"WECC",0,278298,0,Inf,2012
1009,1960,"GT","NG","City of Austin - (MN)","Natural Gas Fired Combustion Turbine","Austin Downtown",6,1961,1961,1961,"MRO",52,1313,0.000989345509893455,25250,2012
1009,1961,"ST","NG","City of Austin - (MN)","Natural Gas Steam Turbine","Austin Northeast",31.9,1971,1971,1971,"MRO",9366,131438,0.0335165543006828,14033.5255178305,2012
10099,54343,"HY","WAT","Kaweah River Power Authority","Conventional Hydroelectric","Terminus Hydroelectric Project",20.1,1990,1990,1990,"WECC",24528,233407,0.139303482587065,9515.94096542727,2012
10127,50712,"WT","WND","Kenetech Windpower Inc","Onshore Wind Turbine","Altamont Pass Windplant",332.5,1983,1983,1983,"WECC",379143,3607925,0.130168915439283,9516.00055915578,2012
1015,3548,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Decker Creek",206,1988,1988,1988,"TRE",24358,349969,0.0134980272199317,14367.7231299778,2012
1015,3548,"ST","NG","Austin Energy","Natural Gas Steam Turbine","Decker Creek",726,1974.5,1978,1971,"TRE",1021494,11614067,0.16061832521982,11369.6869487241,2012
1015,56373,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Domain Integrated Energy System",5,2004,2004,2004,"TRE",0,0,0,NA,2012
1015,56374,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Robert Mueller Energy Center",4.6,2006,2006,2006,"TRE",29072,345050,0.721461187214612,11868.8084755091,2012
1015,56374,"IC","DFO","Austin Energy","Petroleum Liquids","Robert Mueller Energy Center",1.5,2006,2006,2006,"TRE",0,0,0,NA,2012
1015,7900,"CA","NG","Austin Energy","Natural Gas Fired Combined Cycle","Sand Hill",190,2004,2004,2004,"TRE",513968,765951,0.308800769045902,1490.26982224574,2012
1015,7900,"CT","NG","Austin Energy","Natural Gas Fired Combined Cycle","Sand Hill",198,2004,2004,2004,"TRE",790772,9261409,0.455913011392463,11711.857526569,2012
1015,7900,"GT","NG","Austin Energy","Natural Gas Fired Combustion Turbine","Sand Hill",308.4,2004,2010,2001,"TRE",290740,3070337,0.107618345385522,10560.421682603,2012
10152,2139,"IC","DFO","City of Kennett - (MO)","Petroleum Liquids","Kennett",3,1944.5,1949,1942,"SERC",365,4389,0.0138888888888889,12024.6575342466,2012
10152,2139,"IC","NG","City of Kennett - (MO)","Natural Gas Internal Combustion Engine","Kennett",41.5,1971.22222222222,2001,1951,"SERC",9623,115670,0.0264702646201243,12020.1600332537,2012
10171,1354,"HY","WAT","Kentucky Utilities Co","Conventional Hydroelectric","Dix Dam",28.2,1925,1925,1925,"SERC",37726,359002,0.152717056899511,9516.03668557493,2012
