"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
10000,1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",8642946,90805743,0.625245672517666,10506.3415876948,2009
10000,2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",142.8,2000,2000,2000,"SPP",49418,95339,0.0395050714349667,1929.23631065604,2009
10000,2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",164,1997,1997,1997,"SPP",138962,1606340,0.0967270854215391,11559.5630460126,2009
10000,2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",170,2000,2000,2000,"SPP",4517,83940,0.00303317217297878,18583.1303962807,2009
10000,2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",3973097,40906028,0.763166558715714,10295.7536652138,2009
10000,2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",564,1960.66666666667,1964,1958,"SPP",3199348,35469556,0.647557401470255,11086.4951233814,2009
10000,2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",484,1975,1977,1972,"SPP",-930,44150,-0.000219347899920752,-47473.1182795699,2009
10000,2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",2,1985,1985,1985,"SPP",0,0,0,NA,2009
10000,56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",100,2006,2006,2006,"SPP",353724,3452346,0.403794520547945,9759.9993215049,2009
10000,6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",726,1980,1980,1980,"SPP",3823551,38823982,0.601209951318918,10153.9071925548,2009
10000,7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",1373,25670,0.00174150177574835,18696.2855061908,2009
10000,7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",35792,510125,0.0111879648106748,14252.4865891819,2009
