"Utility.ID","Plant.Code","Prime.Mover","Energy.Source.1","Utility.Name","Technology","Plant.Name","Nameplate.Capacity","Operating.Year.avg","Operating.Year.max","Operating.Year.min","NERC.Region","Net.Generation.MWh","Elec.Fuel.Consumption.MMBtu","Capacity.Factor","Heat.Rate","Year"
10000,1241,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","La Cygne",1578,1975,1977,1973,"SPP",8448038,89725947,0.611145690458415,10620.921331083,2010
10000,2079,"CA","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",142.8,2000,2000,2000,"SPP",65728,181883,0.0525433917859381,2767.20727848101,2010
10000,2079,"CT","NG","Kansas City Power & Light Co","Natural Gas Fired Combined Cycle","Hawthorn",164,1997,1997,1997,"SPP",161749,1883695,0.112588400712774,11645.7907004062,2010
10000,2079,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Hawthorn",170,2000,2000,2000,"SPP",315,11468,0.000211522965350524,36406.3492063492,2010
10000,2079,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Hawthorn",594.3,1969,1969,1969,"SPP",3828917,38476617,0.735471953113175,10048.9556185209,2010
10000,2080,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Montrose",564,1960.66666666667,1964,1958,"SPP",3138110,34553311,0.635162650992584,11010.8667318864,2010
10000,2081,"GT","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",484,1975,1977,1972,"SPP",-1060,34098,-0.000250009434318276,-32167.9245283019,2010
10000,2081,"IC","DFO","Kansas City Power & Light Co","Petroleum Liquids","Northeast",2,1985,1985,1985,"SPP",-163,1294,-0.00930365296803653,-7938.65030674847,2010
10000,56351,"WT","WND","Kansas City Power & Light Co","Onshore Wind Turbine","Spearville",148,2008,2010,2006,"SPP",365800,3568746,0.282148586943108,9756.00328048114,2010
10000,6065,"ST","SUB","Kansas City Power & Light Co","Conventional Steam Coal","Iatan",1640,1995,2010,1980,"SPP",6568027,66259030,0.45717973883506,10088.1177863611,2010
10000,7928,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","Osawatomie",90,2003,2003,2003,"SPP",1474,25862,0.00186960933536276,17545.4545454545,2010
10000,7929,"GT","NG","Kansas City Power & Light Co","Natural Gas Fired Combustion Turbine","West Gardner",365.2,2003,2003,2003,"SPP",76221,1038053,0.0238253762246995,13618.9895173246,2010
